,ROCK_0,MCAR_0,19TH_0,12TH_0,WOAK_0,EMBR_0,MONT_0,POWL_0,CIVC_0
136,3/16/2015 7:20,3/16/2015 7:23,3/16/2015 7:27,3/16/2015 7:29,3/16/2015 7:33,3/16/2015 7:40,3/16/2015 7:42,3/16/2015 7:43,3/16/2015 7:45
137,3/16/2015 7:36,3/16/2015 7:39,3/16/2015 7:43,3/16/2015 7:44,3/16/2015 7:51,3/16/2015 7:58,3/16/2015 8:01,3/16/2015 8:02,3/16/2015 8:04
138,3/16/2015 7:50,3/16/2015 7:54,3/16/2015 7:57,3/16/2015 7:59,3/16/2015 8:04,3/16/2015 8:12,3/16/2015 8:14,3/16/2015 8:15,3/16/2015 8:17
139,3/16/2015 8:04,3/16/2015 8:09,3/16/2015 8:12,3/16/2015 8:14,3/16/2015 8:18,3/16/2015 8:25,3/16/2015 8:27,3/16/2015 8:29,3/16/2015 8:31
140,3/16/2015 8:22,3/16/2015 8:25,3/16/2015 8:29,3/16/2015 8:30,3/16/2015 8:36,3/16/2015 8:47,3/16/2015 8:49,3/16/2015 8:51,3/16/2015 8:52
141,3/16/2015 8:36,3/16/2015 8:40,3/16/2015 8:43,3/16/2015 8:45,3/16/2015 8:50,3/16/2015 9:00,3/16/2015 9:02,3/16/2015 9:04,3/16/2015 9:05
142,3/16/2015 8:51,3/16/2015 8:55,3/16/2015 8:58,3/16/2015 9:00,3/16/2015 9:04,3/16/2015 9:11,3/16/2015 9:13,3/16/2015 9:15,3/16/2015 9:16
143,3/17/2015 6:05,3/17/2015 6:08,3/17/2015 6:11,3/17/2015 6:13,3/17/2015 6:18,3/17/2015 6:25,3/17/2015 6:26,3/17/2015 6:28,3/17/2015 6:29
144,3/17/2015 6:20,3/17/2015 6:23,3/17/2015 6:27,3/17/2015 6:28,3/17/2015 6:32,3/17/2015 6:39,3/17/2015 6:41,3/17/2015 6:42,3/17/2015 6:44
145,3/17/2015 6:37,3/17/2015 6:41,3/17/2015 6:45,3/17/2015 6:47,3/17/2015 6:51,3/17/2015 6:58,3/17/2015 6:59,3/17/2015 7:01,3/17/2015 7:02
146,3/17/2015 6:55,3/17/2015 6:58,3/17/2015 7:01,3/17/2015 7:03,3/17/2015 7:08,3/17/2015 7:15,3/17/2015 7:17,3/17/2015 7:19,3/17/2015 7:20
147,3/17/2015 7:05,3/17/2015 7:08,3/17/2015 7:12,3/17/2015 7:13,3/17/2015 7:19,3/17/2015 7:27,3/17/2015 7:28,3/17/2015 7:30,3/17/2015 7:32
148,3/17/2015 7:23,3/17/2015 7:26,3/17/2015 7:29,3/17/2015 7:30,3/17/2015 7:35,3/17/2015 7:43,3/17/2015 7:45,3/17/2015 7:49,3/17/2015 7:50
149,3/17/2015 7:36,3/17/2015 7:42,3/17/2015 7:47,3/17/2015 7:49,3/17/2015 7:54,3/17/2015 8:01,3/17/2015 8:02,3/17/2015 8:04,3/17/2015 8:05
150,3/17/2015 7:50,3/17/2015 7:53,3/17/2015 7:57,3/17/2015 7:59,3/17/2015 8:06,3/17/2015 8:14,3/17/2015 8:15,3/17/2015 8:17,3/17/2015 8:18
151,3/17/2015 8:06,3/17/2015 8:09,3/17/2015 8:13,3/17/2015 8:15,3/17/2015 8:19,3/17/2015 8:27,3/17/2015 8:28,3/17/2015 8:30,3/17/2015 8:32
152,3/17/2015 8:20,3/17/2015 8:23,3/17/2015 8:26,3/17/2015 8:28,3/17/2015 8:32,3/17/2015 8:40,3/17/2015 8:42,3/17/2015 8:44,3/17/2015 8:45
153,3/17/2015 8:36,3/17/2015 8:40,3/17/2015 8:43,3/17/2015 8:45,3/17/2015 8:50,3/17/2015 8:58,3/17/2015 9:00,3/17/2015 9:02,3/17/2015 9:04
154,3/17/2015 8:54,3/17/2015 8:57,3/17/2015 9:00,3/17/2015 9:03,3/17/2015 9:08,3/17/2015 9:15,3/17/2015 9:17,3/17/2015 9:19,3/17/2015 9:20
155,3/18/2015 6:05,3/18/2015 6:08,3/18/2015 6:11,3/18/2015 6:13,3/18/2015 6:17,3/18/2015 6:25,3/18/2015 6:26,3/18/2015 6:28,3/18/2015 6:29
156,3/18/2015 6:19,3/18/2015 6:22,3/18/2015 6:27,3/18/2015 6:29,3/18/2015 6:33,3/18/2015 6:40,3/18/2015 6:42,3/18/2015 6:43,3/18/2015 6:45
157,3/18/2015 6:34,3/18/2015 6:38,3/18/2015 6:41,3/18/2015 6:43,3/18/2015 6:47,3/18/2015 6:57,3/18/2015 6:59,3/18/2015 7:01,3/18/2015 7:02
158,3/18/2015 6:52,3/18/2015 6:55,3/18/2015 6:58,3/18/2015 7:00,3/18/2015 7:04,3/18/2015 7:11,3/18/2015 7:12,3/18/2015 7:14,3/18/2015 7:15
159,3/18/2015 7:05,3/18/2015 7:08,3/18/2015 7:11,3/18/2015 7:13,3/18/2015 7:20,3/18/2015 7:28,3/18/2015 7:30,3/18/2015 7:32,3/18/2015 7:33
160,3/18/2015 7:20,3/18/2015 7:23,3/18/2015 7:27,3/18/2015 7:28,3/18/2015 7:33,3/18/2015 7:41,3/18/2015 7:43,3/18/2015 7:45,3/18/2015 7:46
161,3/18/2015 7:36,3/18/2015 7:39,3/18/2015 7:43,3/18/2015 7:45,3/18/2015 7:50,3/18/2015 7:57,3/18/2015 7:59,3/18/2015 8:01,3/18/2015 8:03
162,3/18/2015 7:51,3/18/2015 7:54,3/18/2015 7:58,3/18/2015 8:02,3/18/2015 8:06,3/18/2015 8:14,3/18/2015 8:16,3/18/2015 8:18,3/18/2015 8:19
163,3/18/2015 8:04,3/18/2015 8:08,3/18/2015 8:13,3/18/2015 8:15,3/18/2015 8:21,3/18/2015 8:29,3/18/2015 8:31,3/18/2015 8:32,3/18/2015 8:34
164,3/18/2015 8:21,3/18/2015 8:23,3/18/2015 8:27,3/18/2015 8:29,3/18/2015 8:33,3/18/2015 8:41,3/18/2015 8:43,3/18/2015 8:45,3/18/2015 8:46
165,3/18/2015 8:38,3/18/2015 8:41,3/18/2015 8:45,3/18/2015 8:46,3/18/2015 8:51,3/18/2015 8:58,3/18/2015 9:00,3/18/2015 9:02,3/18/2015 9:04
166,3/18/2015 8:50,3/18/2015 8:54,3/18/2015 8:56,3/18/2015 8:58,3/18/2015 9:03,3/18/2015 9:12,3/18/2015 9:14,3/18/2015 9:15,3/18/2015 9:17
167,3/19/2015 6:04,3/19/2015 6:08,3/19/2015 6:11,3/19/2015 6:13,3/19/2015 6:18,3/19/2015 6:25,3/19/2015 6:26,3/19/2015 6:28,3/19/2015 6:30
168,3/19/2015 6:20,3/19/2015 6:23,3/19/2015 6:26,3/19/2015 6:27,3/19/2015 6:32,3/19/2015 6:40,3/19/2015 6:41,3/19/2015 6:43,3/19/2015 6:44
169,3/19/2015 6:35,3/19/2015 6:38,3/19/2015 6:42,3/19/2015 6:43,3/19/2015 6:48,3/19/2015 6:54,3/19/2015 6:56,3/19/2015 6:58,3/19/2015 6:59
170,3/19/2015 6:50,3/19/2015 6:54,3/19/2015 6:57,3/19/2015 6:59,3/19/2015 7:05,3/19/2015 7:12,3/19/2015 7:14,3/19/2015 7:15,3/19/2015 7:16
171,3/19/2015 7:04,3/19/2015 7:08,3/19/2015 7:12,3/19/2015 7:14,3/19/2015 7:18,3/19/2015 7:25,3/19/2015 7:26,3/19/2015 7:28,3/19/2015 7:29
172,3/19/2015 7:19,3/19/2015 7:23,3/19/2015 7:26,3/19/2015 7:28,3/19/2015 7:32,3/19/2015 7:40,3/19/2015 7:41,3/19/2015 7:43,3/19/2015 7:44
173,3/19/2015 7:35,3/19/2015 7:38,3/19/2015 7:41,3/19/2015 7:43,3/19/2015 7:47,3/19/2015 7:55,3/19/2015 7:57,3/19/2015 7:58,3/19/2015 8:00
174,3/19/2015 7:49,3/19/2015 7:53,3/19/2015 7:57,3/19/2015 7:59,3/19/2015 8:03,3/19/2015 8:11,3/19/2015 8:13,3/19/2015 8:14,3/19/2015 8:16
175,3/19/2015 8:09,3/19/2015 8:12,3/19/2015 8:16,3/19/2015 8:18,3/19/2015 8:23,3/19/2015 8:29,3/19/2015 8:31,3/19/2015 8:33,3/19/2015 8:34
176,3/19/2015 8:20,3/19/2015 8:24,3/19/2015 8:27,3/19/2015 8:29,3/19/2015 8:34,3/19/2015 8:42,3/19/2015 8:44,3/19/2015 8:46,3/19/2015 8:47
177,3/19/2015 8:36,3/19/2015 8:39,3/19/2015 8:43,3/19/2015 8:45,3/19/2015 8:52,3/19/2015 8:59,3/19/2015 9:00,3/19/2015 9:02,3/19/2015 9:04
178,3/19/2015 8:50,3/19/2015 8:54,3/19/2015 8:57,3/19/2015 8:59,3/19/2015 9:03,3/19/2015 9:11,3/19/2015 9:12,3/19/2015 9:14,3/19/2015 9:16
179,3/20/2015 6:05,3/20/2015 6:08,3/20/2015 6:11,3/20/2015 6:13,3/20/2015 6:18,3/20/2015 6:24,3/20/2015 6:26,3/20/2015 6:28,3/20/2015 6:29
180,3/20/2015 6:20,3/20/2015 6:23,3/20/2015 6:26,3/20/2015 6:28,3/20/2015 6:32,3/20/2015 6:39,3/20/2015 6:41,3/20/2015 6:43,3/20/2015 6:44
181,3/20/2015 6:35,3/20/2015 6:38,3/20/2015 6:41,3/20/2015 6:42,3/20/2015 6:48,3/20/2015 6:55,3/20/2015 6:57,3/20/2015 6:58,3/20/2015 6:59
182,3/20/2015 6:51,3/20/2015 6:54,3/20/2015 6:57,3/20/2015 6:58,3/20/2015 7:03,3/20/2015 7:10,3/20/2015 7:11,3/20/2015 7:13,3/20/2015 7:14
183,3/20/2015 7:05,3/20/2015 7:08,3/20/2015 7:11,3/20/2015 7:13,3/20/2015 7:18,3/20/2015 7:25,3/20/2015 7:26,3/20/2015 7:28,3/20/2015 7:29
184,3/20/2015 7:20,3/20/2015 7:23,3/20/2015 7:27,3/20/2015 7:28,3/20/2015 7:33,3/20/2015 7:40,3/20/2015 7:41,3/20/2015 7:43,3/20/2015 7:44
185,3/20/2015 7:37,3/20/2015 7:40,3/20/2015 7:43,3/20/2015 7:45,3/20/2015 7:50,3/20/2015 7:58,3/20/2015 8:00,3/20/2015 8:01,3/20/2015 8:03
186,3/20/2015 7:50,3/20/2015 7:54,3/20/2015 7:57,3/20/2015 7:59,3/20/2015 8:04,3/20/2015 8:11,3/20/2015 8:13,3/20/2015 8:14,3/20/2015 8:16
187,3/20/2015 8:06,3/20/2015 8:09,3/20/2015 8:13,3/20/2015 8:14,3/20/2015 8:20,3/20/2015 8:28,3/20/2015 8:29,3/20/2015 8:31,3/20/2015 8:33
188,3/20/2015 8:23,3/20/2015 8:26,3/20/2015 8:29,3/20/2015 8:31,3/20/2015 8:35,3/20/2015 8:42,3/20/2015 8:44,3/20/2015 8:46,3/20/2015 8:48
189,3/20/2015 8:35,3/20/2015 8:38,3/20/2015 8:42,3/20/2015 8:44,3/20/2015 8:48,3/20/2015 8:55,3/20/2015 8:57,3/20/2015 8:59,3/20/2015 9:00
190,3/20/2015 8:50,3/20/2015 8:54,3/20/2015 8:57,3/20/2015 8:59,3/20/2015 9:03,3/20/2015 9:10,3/20/2015 9:12,3/20/2015 9:13,3/20/2015 9:15
191,3/21/2015 6:10,3/21/2015 6:14,3/21/2015 6:19,3/21/2015 6:20,3/21/2015 6:25,3/21/2015 6:32,3/21/2015 6:33,3/21/2015 6:35,3/21/2015 6:36
192,3/21/2015 6:31,3/21/2015 6:34,3/21/2015 6:39,3/21/2015 6:41,3/21/2015 6:45,3/21/2015 6:52,3/21/2015 6:54,3/21/2015 6:55,3/21/2015 6:57
193,3/21/2015 6:50,3/21/2015 6:54,3/21/2015 6:58,3/21/2015 6:59,3/21/2015 7:04,3/21/2015 7:11,3/21/2015 7:13,3/21/2015 7:14,3/21/2015 7:16
194,3/21/2015 7:10,3/21/2015 7:14,3/21/2015 7:18,3/21/2015 7:19,3/21/2015 7:24,3/21/2015 7:32,3/21/2015 7:33,3/21/2015 7:35,3/21/2015 7:36
195,3/21/2015 7:30,3/21/2015 7:34,3/21/2015 7:38,3/21/2015 7:40,3/21/2015 7:46,3/21/2015 7:53,3/21/2015 7:55,3/21/2015 7:56,3/21/2015 7:58
196,3/21/2015 7:51,3/21/2015 7:54,3/21/2015 7:59,3/21/2015 8:00,3/21/2015 8:05,3/21/2015 8:12,3/21/2015 8:14,3/21/2015 8:15,3/21/2015 8:17
197,3/21/2015 8:10,3/21/2015 8:14,3/21/2015 8:26,3/21/2015 8:27,3/21/2015 8:32,3/21/2015 8:39,3/21/2015 8:41,3/21/2015 8:42,3/21/2015 8:44
198,3/21/2015 8:34,3/21/2015 8:37,3/21/2015 8:40,3/21/2015 8:42,3/21/2015 8:46,3/21/2015 8:53,3/21/2015 8:54,3/21/2015 8:56,3/21/2015 8:57
199,3/21/2015 8:57,3/21/2015 9:00,3/21/2015 9:03,3/21/2015 9:04,3/21/2015 9:09,3/21/2015 9:15,3/21/2015 9:16,3/21/2015 9:18,3/21/2015 9:20
200,3/22/2015 8:10,3/22/2015 8:14,3/22/2015 8:18,3/22/2015 8:19,3/22/2015 8:24,3/22/2015 8:31,3/22/2015 8:33,3/22/2015 8:35,3/22/2015 8:36
201,3/22/2015 8:34,3/22/2015 8:37,3/22/2015 8:40,3/22/2015 8:42,3/22/2015 8:46,3/22/2015 8:53,3/22/2015 8:54,3/22/2015 8:58,3/22/2015 8:59
202,3/22/2015 8:55,3/22/2015 8:59,3/22/2015 9:02,3/22/2015 9:04,3/22/2015 9:08,3/22/2015 9:15,3/22/2015 9:16,3/22/2015 9:17,3/22/2015 9:19
203,3/23/2015 6:05,3/23/2015 6:08,3/23/2015 6:12,3/23/2015 6:13,3/23/2015 6:18,3/23/2015 6:24,3/23/2015 6:26,3/23/2015 6:28,3/23/2015 6:29
204,3/23/2015 6:19,3/23/2015 6:23,3/23/2015 6:26,3/23/2015 6:28,3/23/2015 6:32,3/23/2015 6:39,3/23/2015 6:41,3/23/2015 6:43,3/23/2015 6:44
205,3/23/2015 6:35,3/23/2015 6:39,3/23/2015 6:42,3/23/2015 6:43,3/23/2015 6:48,3/23/2015 6:55,3/23/2015 6:56,3/23/2015 6:58,3/23/2015 6:59
206,3/23/2015 6:52,3/23/2015 6:56,3/23/2015 6:59,3/23/2015 7:00,3/23/2015 7:05,3/23/2015 7:11,3/23/2015 7:13,3/23/2015 7:15,3/23/2015 7:16
207,3/23/2015 7:07,3/23/2015 7:10,3/23/2015 7:14,3/23/2015 7:15,3/23/2015 7:19,3/23/2015 7:27,3/23/2015 7:29,3/23/2015 7:32,3/23/2015 7:33
208,3/23/2015 7:22,3/23/2015 7:25,3/23/2015 7:28,3/23/2015 7:30,3/23/2015 7:35,3/23/2015 7:43,3/23/2015 7:45,3/23/2015 7:47,3/23/2015 7:48
209,3/23/2015 7:39,3/23/2015 7:43,3/23/2015 7:47,3/23/2015 7:50,3/23/2015 7:56,3/23/2015 8:03,3/23/2015 8:05,3/23/2015 8:07,3/23/2015 8:09
210,3/23/2015 7:57,3/23/2015 8:01,3/23/2015 8:05,3/23/2015 8:07,3/23/2015 8:12,3/23/2015 8:22,3/23/2015 8:25,3/23/2015 8:26,3/23/2015 8:28
211,3/23/2015 8:08,3/23/2015 8:11,3/23/2015 8:15,3/23/2015 8:17,3/23/2015 8:23,3/23/2015 8:33,3/23/2015 8:35,3/23/2015 8:37,3/23/2015 8:39
212,3/23/2015 8:20,3/23/2015 8:23,3/23/2015 8:28,3/23/2015 8:30,3/23/2015 8:34,3/23/2015 8:45,3/23/2015 8:48,3/23/2015 8:49,3/23/2015 8:51
213,3/23/2015 8:35,3/23/2015 8:39,3/23/2015 8:42,3/23/2015 8:44,3/23/2015 8:49,3/23/2015 8:57,3/23/2015 8:59,3/23/2015 9:01,3/23/2015 9:03
214,3/23/2015 8:54,3/23/2015 8:57,3/23/2015 9:01,3/23/2015 9:02,3/23/2015 9:10,3/23/2015 9:17,3/23/2015 9:19,3/23/2015 9:21,3/23/2015 9:22
215,3/24/2015 6:05,3/24/2015 6:08,3/24/2015 6:12,3/24/2015 6:13,3/24/2015 6:18,3/24/2015 6:25,3/24/2015 6:26,3/24/2015 6:28,3/24/2015 6:29
216,3/24/2015 6:20,3/24/2015 6:23,3/24/2015 6:26,3/24/2015 6:28,3/24/2015 6:32,3/24/2015 6:39,3/24/2015 6:42,3/24/2015 6:44,3/24/2015 6:45
217,3/24/2015 6:35,3/24/2015 6:38,3/24/2015 6:41,3/24/2015 6:43,3/24/2015 6:47,3/24/2015 6:58,3/24/2015 7:00,3/24/2015 7:02,3/24/2015 7:04
218,3/24/2015 6:55,3/24/2015 6:58,3/24/2015 7:01,3/24/2015 7:03,3/24/2015 7:07,3/24/2015 7:14,3/24/2015 7:15,3/24/2015 7:17,3/24/2015 7:19
219,3/24/2015 7:06,3/24/2015 7:09,3/24/2015 7:12,3/24/2015 7:14,3/24/2015 7:18,3/24/2015 7:25,3/24/2015 7:27,3/24/2015 7:29,3/24/2015 7:30
220,3/24/2015 7:23,3/24/2015 7:26,3/24/2015 7:30,3/24/2015 7:32,3/24/2015 7:36,3/24/2015 7:43,3/24/2015 7:45,3/24/2015 7:47,3/24/2015 7:49
221,3/24/2015 7:38,3/24/2015 7:41,3/24/2015 7:46,3/24/2015 7:48,3/24/2015 7:53,3/24/2015 8:00,3/24/2015 8:02,3/24/2015 8:03,3/24/2015 8:05
222,3/24/2015 7:53,3/24/2015 7:56,3/24/2015 7:59,3/24/2015 8:01,3/24/2015 8:05,3/24/2015 8:13,3/24/2015 8:14,3/24/2015 8:16,3/24/2015 8:18
223,3/24/2015 8:05,3/24/2015 8:08,3/24/2015 8:14,3/24/2015 8:15,3/24/2015 8:21,3/24/2015 8:28,3/24/2015 8:30,3/24/2015 8:32,3/24/2015 8:34
224,3/24/2015 8:23,3/24/2015 8:26,3/24/2015 8:29,3/24/2015 8:32,3/24/2015 8:36,3/24/2015 8:44,3/24/2015 8:46,3/24/2015 8:48,3/24/2015 8:49
225,3/24/2015 8:35,3/24/2015 8:39,3/24/2015 8:43,3/24/2015 8:44,3/24/2015 8:49,3/24/2015 8:57,3/24/2015 8:59,3/24/2015 9:01,3/24/2015 9:02
226,3/24/2015 8:53,3/24/2015 8:57,3/24/2015 9:01,3/24/2015 9:03,3/24/2015 9:09,3/24/2015 9:16,3/24/2015 9:18,3/24/2015 9:20,3/24/2015 9:21
227,3/25/2015 6:05,3/25/2015 6:08,3/25/2015 6:11,3/25/2015 6:13,3/25/2015 6:17,3/25/2015 6:24,3/25/2015 6:25,3/25/2015 6:27,3/25/2015 6:29
228,3/25/2015 6:20,3/25/2015 6:23,3/25/2015 6:26,3/25/2015 6:28,3/25/2015 6:32,3/25/2015 6:40,3/25/2015 6:41,3/25/2015 6:43,3/25/2015 6:45
229,3/25/2015 6:35,3/25/2015 6:38,3/25/2015 6:41,3/25/2015 6:43,3/25/2015 6:47,3/25/2015 6:54,3/25/2015 6:55,3/25/2015 6:58,3/25/2015 6:59
230,3/25/2015 6:49,3/25/2015 6:53,3/25/2015 6:56,3/25/2015 6:58,3/25/2015 7:02,3/25/2015 7:13,3/25/2015 7:14,3/25/2015 7:16,3/25/2015 7:17
231,3/25/2015 7:05,3/25/2015 7:08,3/25/2015 7:11,3/25/2015 7:13,3/25/2015 7:17,3/25/2015 7:24,3/25/2015 7:26,3/25/2015 7:28,3/25/2015 7:30
232,3/25/2015 7:21,3/25/2015 7:24,3/25/2015 7:29,3/25/2015 7:31,3/25/2015 7:35,3/25/2015 7:42,3/25/2015 7:44,3/25/2015 7:46,3/25/2015 7:47
233,3/25/2015 7:37,3/25/2015 7:40,3/25/2015 7:44,3/25/2015 7:45,3/25/2015 7:51,3/25/2015 7:58,3/25/2015 8:00,3/25/2015 8:02,3/25/2015 8:03
234,3/25/2015 7:49,3/25/2015 7:53,3/25/2015 7:58,3/25/2015 8:00,3/25/2015 8:05,3/25/2015 8:15,3/25/2015 8:16,3/25/2015 8:18,3/25/2015 8:19
235,3/25/2015 8:06,3/25/2015 8:09,3/25/2015 8:13,3/25/2015 8:15,3/25/2015 8:19,3/25/2015 8:28,3/25/2015 8:30,3/25/2015 8:32,3/25/2015 8:34
236,3/25/2015 8:19,3/25/2015 8:23,3/25/2015 8:30,3/25/2015 8:31,3/25/2015 8:36,3/25/2015 8:44,3/25/2015 8:46,3/25/2015 8:47,3/25/2015 8:49
237,3/25/2015 8:36,3/25/2015 8:39,3/25/2015 8:43,3/25/2015 8:44,3/25/2015 8:50,3/25/2015 9:08,3/25/2015 9:10,3/25/2015 9:11,3/25/2015 9:13
238,3/25/2015 8:54,3/25/2015 8:57,3/25/2015 9:00,3/25/2015 9:03,3/25/2015 9:12,3/25/2015 9:21,3/25/2015 9:23,3/25/2015 9:25,3/25/2015 9:26
239,3/26/2015 6:05,3/26/2015 6:08,3/26/2015 6:11,3/26/2015 6:13,3/26/2015 6:19,3/26/2015 6:26,3/26/2015 6:28,3/26/2015 6:29,3/26/2015 6:31
240,3/26/2015 6:19,3/26/2015 6:23,3/26/2015 6:27,3/26/2015 6:29,3/26/2015 6:36,3/26/2015 6:43,3/26/2015 6:45,3/26/2015 6:46,3/26/2015 6:48
241,3/26/2015 6:35,3/26/2015 6:38,3/26/2015 6:41,3/26/2015 6:42,3/26/2015 6:50,3/26/2015 6:58,3/26/2015 6:59,3/26/2015 7:00,3/26/2015 7:02
242,3/26/2015 6:51,3/26/2015 6:54,3/26/2015 6:57,3/26/2015 6:58,3/26/2015 7:03,3/26/2015 7:10,3/26/2015 7:11,3/26/2015 7:13,3/26/2015 7:14
243,3/26/2015 7:06,3/26/2015 7:10,3/26/2015 7:14,3/26/2015 7:16,3/26/2015 7:20,3/26/2015 7:27,3/26/2015 7:28,3/26/2015 7:30,3/26/2015 7:32
244,3/26/2015 7:20,3/26/2015 7:23,3/26/2015 7:26,3/26/2015 7:28,3/26/2015 7:32,3/26/2015 7:39,3/26/2015 7:40,3/26/2015 7:42,3/26/2015 7:44
245,3/26/2015 7:35,3/26/2015 7:38,3/26/2015 7:43,3/26/2015 7:45,3/26/2015 7:50,3/26/2015 7:58,3/26/2015 8:00,3/26/2015 8:02,3/26/2015 8:03
246,3/26/2015 7:49,3/26/2015 7:53,3/26/2015 7:57,3/26/2015 7:59,3/26/2015 8:08,3/26/2015 8:16,3/26/2015 8:17,3/26/2015 8:19,3/26/2015 8:21
247,3/26/2015 8:05,3/26/2015 8:08,3/26/2015 8:12,3/26/2015 8:14,3/26/2015 8:19,3/26/2015 8:29,3/26/2015 8:31,3/26/2015 8:32,3/26/2015 8:34
248,3/26/2015 8:22,3/26/2015 8:25,3/26/2015 8:31,3/26/2015 8:32,3/26/2015 8:36,3/26/2015 8:44,3/26/2015 8:46,3/26/2015 8:47,3/26/2015 8:49
249,3/26/2015 8:35,3/26/2015 8:38,3/26/2015 8:42,3/26/2015 8:44,3/26/2015 8:48,3/26/2015 8:56,3/26/2015 8:58,3/26/2015 8:59,3/26/2015 9:01
250,3/26/2015 8:51,3/26/2015 8:54,3/26/2015 8:57,3/26/2015 8:59,3/26/2015 9:03,3/26/2015 9:10,3/26/2015 9:13,3/26/2015 9:14,3/26/2015 9:16
251,3/27/2015 6:04,3/27/2015 6:08,3/27/2015 6:11,3/27/2015 6:12,3/27/2015 6:17,3/27/2015 6:24,3/27/2015 6:26,3/27/2015 6:27,3/27/2015 6:29
252,3/27/2015 6:19,3/27/2015 6:23,3/27/2015 6:26,3/27/2015 6:27,3/27/2015 6:33,3/27/2015 6:40,3/27/2015 6:41,3/27/2015 6:43,3/27/2015 6:44
253,3/27/2015 6:35,3/27/2015 6:40,3/27/2015 6:43,3/27/2015 6:44,3/27/2015 6:48,3/27/2015 6:55,3/27/2015 6:57,3/27/2015 6:59,3/27/2015 7:00
254,3/27/2015 6:51,3/27/2015 6:54,3/27/2015 6:57,3/27/2015 6:59,3/27/2015 7:03,3/27/2015 7:10,3/27/2015 7:11,3/27/2015 7:12,3/27/2015 7:14
255,3/27/2015 7:06,3/27/2015 7:09,3/27/2015 7:12,3/27/2015 7:13,3/27/2015 7:18,3/27/2015 7:25,3/27/2015 7:27,3/27/2015 7:28,3/27/2015 7:30
256,3/27/2015 7:21,3/27/2015 7:24,3/27/2015 7:27,3/27/2015 7:28,3/27/2015 7:33,3/27/2015 7:40,3/27/2015 7:42,3/27/2015 7:43,3/27/2015 7:44
257,3/27/2015 7:35,3/27/2015 7:39,3/27/2015 7:42,3/27/2015 7:44,3/27/2015 7:48,3/27/2015 7:55,3/27/2015 7:57,3/27/2015 7:59,3/27/2015 8:01
258,3/27/2015 7:51,3/27/2015 7:54,3/27/2015 7:57,3/27/2015 7:59,3/27/2015 8:03,3/27/2015 8:11,3/27/2015 8:13,3/27/2015 8:14,3/27/2015 8:16
259,3/27/2015 8:07,3/27/2015 8:11,3/27/2015 8:14,3/27/2015 8:16,3/27/2015 8:20,3/27/2015 8:27,3/27/2015 8:30,3/27/2015 8:31,3/27/2015 8:33
260,3/27/2015 8:20,3/27/2015 8:23,3/27/2015 8:27,3/27/2015 8:28,3/27/2015 8:33,3/27/2015 8:40,3/27/2015 8:42,3/27/2015 8:44,3/27/2015 8:45
261,3/27/2015 8:35,3/27/2015 8:38,3/27/2015 8:42,3/27/2015 8:44,3/27/2015 8:48,3/27/2015 8:56,3/27/2015 8:58,3/27/2015 8:59,3/27/2015 9:01
262,3/27/2015 8:49,3/27/2015 8:53,3/27/2015 8:59,3/27/2015 9:01,3/27/2015 9:05,3/27/2015 9:12,3/27/2015 9:14,3/27/2015 9:15,3/27/2015 9:17
263,3/28/2015 6:12,3/28/2015 6:16,3/28/2015 6:19,3/28/2015 6:20,3/28/2015 6:24,3/28/2015 6:32,3/28/2015 6:33,3/28/2015 6:35,3/28/2015 6:36
264,3/28/2015 6:30,3/28/2015 6:34,3/28/2015 6:38,3/28/2015 6:39,3/28/2015 6:44,3/28/2015 6:52,3/28/2015 6:53,3/28/2015 6:55,3/28/2015 6:56
265,3/28/2015 6:50,3/28/2015 6:54,3/28/2015 6:58,3/28/2015 7:00,3/28/2015 7:05,3/28/2015 7:11,3/28/2015 7:13,3/28/2015 7:14,3/28/2015 7:16
266,3/28/2015 7:10,3/28/2015 7:14,3/28/2015 7:18,3/28/2015 7:20,3/28/2015 7:24,3/28/2015 7:31,3/28/2015 7:33,3/28/2015 7:34,3/28/2015 7:36
267,3/28/2015 7:31,3/28/2015 7:35,3/28/2015 7:39,3/28/2015 7:41,3/28/2015 7:45,3/28/2015 7:52,3/28/2015 7:54,3/28/2015 7:55,3/28/2015 7:56
268,3/28/2015 7:50,3/28/2015 7:54,3/28/2015 7:58,3/28/2015 8:00,3/28/2015 8:05,3/28/2015 8:12,3/28/2015 8:13,3/28/2015 8:15,3/28/2015 8:17
269,3/28/2015 8:15,3/28/2015 8:18,3/28/2015 8:22,3/28/2015 8:23,3/28/2015 8:28,3/28/2015 8:34,3/28/2015 8:36,3/28/2015 8:37,3/28/2015 8:39
270,3/28/2015 8:33,3/28/2015 8:36,3/28/2015 8:39,3/28/2015 8:41,3/28/2015 8:45,3/28/2015 8:52,3/28/2015 8:54,3/28/2015 8:55,3/28/2015 8:57
271,3/29/2015 8:10,3/29/2015 8:14,3/29/2015 8:17,3/29/2015 8:19,3/29/2015 8:27,3/29/2015 8:34,3/29/2015 8:35,3/29/2015 8:37,3/29/2015 8:38
272,3/29/2015 8:35,3/29/2015 8:38,3/29/2015 8:41,3/29/2015 8:43,3/29/2015 8:47,3/29/2015 8:53,3/29/2015 8:55,3/29/2015 8:57,3/29/2015 8:58
273,3/29/2015 8:53,3/29/2015 8:56,3/29/2015 8:59,3/29/2015 9:00,3/29/2015 9:05,3/29/2015 9:12,3/29/2015 9:13,3/29/2015 9:15,3/29/2015 9:16
