,ROCK_0,MCAR_0,19TH_0,12TH_0,WOAK_0,EMBR_0,MONT_0,POWL_0,CIVC_0
31,3/5/2015 7:50,3/5/2015 7:53,3/5/2015 7:57,3/5/2015 7:59,3/5/2015 8:03,3/5/2015 8:11,3/5/2015 8:12,3/5/2015 8:14,3/5/2015 8:16
32,3/5/2015 8:05,3/5/2015 8:08,3/5/2015 8:12,3/5/2015 8:14,3/5/2015 8:18,3/5/2015 8:26,3/5/2015 8:28,3/5/2015 8:29,3/5/2015 8:31
33,3/5/2015 8:20,3/5/2015 8:23,3/5/2015 8:28,3/5/2015 8:29,3/5/2015 8:34,3/5/2015 8:41,3/5/2015 8:42,3/5/2015 8:44,3/5/2015 8:45
34,3/5/2015 8:36,3/5/2015 8:39,3/5/2015 8:42,3/5/2015 8:44,3/5/2015 8:49,3/5/2015 8:56,3/5/2015 8:58,3/5/2015 9:00,3/5/2015 9:01
35,3/5/2015 8:50,3/5/2015 8:53,3/5/2015 8:57,3/5/2015 8:58,3/5/2015 9:03,3/5/2015 9:11,3/5/2015 9:13,3/5/2015 9:14,3/5/2015 9:16
36,3/6/2015 6:05,3/6/2015 6:08,3/6/2015 6:11,3/6/2015 6:12,3/6/2015 6:17,3/6/2015 6:24,3/6/2015 6:26,3/6/2015 6:28,3/6/2015 6:29
37,3/6/2015 6:19,3/6/2015 6:23,3/6/2015 6:26,3/6/2015 6:27,3/6/2015 6:32,3/6/2015 6:39,3/6/2015 6:41,3/6/2015 6:43,3/6/2015 6:44
38,3/6/2015 6:36,3/6/2015 6:39,3/6/2015 6:42,3/6/2015 6:43,3/6/2015 6:47,3/6/2015 6:55,3/6/2015 6:57,3/6/2015 6:58,3/6/2015 7:00
39,3/6/2015 6:51,3/6/2015 6:54,3/6/2015 6:57,3/6/2015 6:59,3/6/2015 7:03,3/6/2015 7:11,3/6/2015 7:12,3/6/2015 7:14,3/6/2015 7:15
40,3/6/2015 7:08,3/6/2015 7:11,3/6/2015 7:14,3/6/2015 7:16,3/6/2015 7:20,3/6/2015 7:27,3/6/2015 7:29,3/6/2015 7:30,3/6/2015 7:32
41,3/6/2015 7:20,3/6/2015 7:24,3/6/2015 7:27,3/6/2015 7:28,3/6/2015 7:33,3/6/2015 7:40,3/6/2015 7:42,3/6/2015 7:43,3/6/2015 7:44
42,3/6/2015 7:35,3/6/2015 7:39,3/6/2015 7:44,3/6/2015 7:46,3/6/2015 7:51,3/6/2015 7:59,3/6/2015 8:00,3/6/2015 8:01,3/6/2015 8:03
43,3/6/2015 7:49,3/6/2015 7:53,3/6/2015 7:57,3/6/2015 7:59,3/6/2015 8:04,3/6/2015 8:14,3/6/2015 8:15,3/6/2015 8:17,3/6/2015 8:19
44,3/6/2015 8:05,3/6/2015 8:09,3/6/2015 8:13,3/6/2015 8:14,3/6/2015 8:19,3/6/2015 8:28,3/6/2015 8:29,3/6/2015 8:31,3/6/2015 8:33
45,3/6/2015 8:20,3/6/2015 8:24,3/6/2015 8:27,3/6/2015 8:29,3/6/2015 8:33,3/6/2015 8:40,3/6/2015 8:42,3/6/2015 8:44,3/6/2015 8:46
46,3/6/2015 8:36,3/6/2015 8:39,3/6/2015 8:42,3/6/2015 8:44,3/6/2015 8:48,3/6/2015 8:56,3/6/2015 8:58,3/6/2015 8:59,3/6/2015 9:01
47,3/6/2015 8:51,3/6/2015 8:54,3/6/2015 8:57,3/6/2015 8:58,3/6/2015 9:03,3/6/2015 9:10,3/6/2015 9:12,3/6/2015 9:14,3/6/2015 9:15
48,3/7/2015 6:14,3/7/2015 6:17,3/7/2015 6:20,3/7/2015 6:22,3/7/2015 6:27,3/7/2015 6:34,3/7/2015 6:35,3/7/2015 6:37,3/7/2015 6:38
49,3/7/2015 6:46,3/7/2015 6:49,3/7/2015 6:52,3/7/2015 6:53,3/7/2015 6:58,3/7/2015 7:04,3/7/2015 7:06,3/7/2015 7:07,3/7/2015 7:09
50,3/7/2015 6:52,3/7/2015 6:55,3/7/2015 6:59,3/7/2015 7:00,3/7/2015 7:05,3/7/2015 7:12,3/7/2015 7:13,3/7/2015 7:15,3/7/2015 7:16
51,3/7/2015 7:10,3/7/2015 7:14,3/7/2015 7:18,3/7/2015 7:19,3/7/2015 7:24,3/7/2015 7:31,3/7/2015 7:33,3/7/2015 7:35,3/7/2015 7:36
52,3/7/2015 7:33,3/7/2015 7:36,3/7/2015 7:39,3/7/2015 7:40,3/7/2015 7:44,3/7/2015 7:51,3/7/2015 7:52,3/7/2015 7:54,3/7/2015 7:55
53,3/7/2015 7:51,3/7/2015 7:54,3/7/2015 7:59,3/7/2015 8:00,3/7/2015 8:05,3/7/2015 8:12,3/7/2015 8:14,3/7/2015 8:15,3/7/2015 8:17
54,3/7/2015 8:10,3/7/2015 8:14,3/7/2015 8:18,3/7/2015 8:20,3/7/2015 8:25,3/7/2015 8:32,3/7/2015 8:33,3/7/2015 8:35,3/7/2015 8:37
55,3/7/2015 8:33,3/7/2015 8:36,3/7/2015 8:39,3/7/2015 8:40,3/7/2015 8:45,3/7/2015 8:52,3/7/2015 8:54,3/7/2015 8:55,3/7/2015 8:57
56,3/7/2015 8:55,3/7/2015 8:58,3/7/2015 9:02,3/7/2015 9:03,3/7/2015 9:07,3/7/2015 9:14,3/7/2015 9:16,3/7/2015 9:18,3/7/2015 9:19
57,3/8/2015 8:10,3/8/2015 8:14,3/8/2015 8:18,3/8/2015 8:19,3/8/2015 8:24,3/8/2015 8:31,3/8/2015 8:33,3/8/2015 8:34,3/8/2015 8:36
58,3/8/2015 8:37,3/8/2015 8:40,3/8/2015 8:43,3/8/2015 8:45,3/8/2015 8:49,3/8/2015 8:56,3/8/2015 8:58,3/8/2015 8:59,3/8/2015 9:00
59,3/8/2015 8:56,3/8/2015 8:59,3/8/2015 9:05,3/8/2015 9:06,3/8/2015 9:10,3/8/2015 9:17,3/8/2015 9:19,3/8/2015 9:20,3/8/2015 9:22
60,3/9/2015 6:05,3/9/2015 6:09,3/9/2015 6:12,3/9/2015 6:14,3/9/2015 6:18,3/9/2015 6:34,3/9/2015 6:36,3/9/2015 6:37,3/9/2015 6:39
61,3/9/2015 6:19,3/9/2015 6:23,3/9/2015 6:28,3/9/2015 6:30,3/9/2015 6:36,3/9/2015 6:43,3/9/2015 6:44,3/9/2015 6:46,3/9/2015 6:48
62,3/9/2015 6:37,3/9/2015 6:40,3/9/2015 6:43,3/9/2015 6:45,3/9/2015 6:49,3/9/2015 6:57,3/9/2015 6:58,3/9/2015 7:00,3/9/2015 7:01
63,3/9/2015 6:52,3/9/2015 6:55,3/9/2015 6:58,3/9/2015 6:59,3/9/2015 7:04,3/9/2015 7:11,3/9/2015 7:13,3/9/2015 7:15,3/9/2015 7:16
64,3/9/2015 7:04,3/9/2015 7:07,3/9/2015 7:11,3/9/2015 7:13,3/9/2015 7:19,3/9/2015 7:26,3/9/2015 7:28,3/9/2015 7:30,3/9/2015 7:31
65,3/9/2015 7:20,3/9/2015 7:23,3/9/2015 7:27,3/9/2015 7:28,3/9/2015 7:33,3/9/2015 7:40,3/9/2015 7:42,3/9/2015 7:44,3/9/2015 7:45
66,3/9/2015 7:35,3/9/2015 7:38,3/9/2015 7:41,3/9/2015 7:43,3/9/2015 7:48,3/9/2015 7:56,3/9/2015 7:58,3/9/2015 7:59,3/9/2015 8:01
67,3/9/2015 7:49,3/9/2015 7:53,3/9/2015 7:57,3/9/2015 8:01,3/9/2015 8:05,3/9/2015 8:13,3/9/2015 8:15,3/9/2015 8:17,3/9/2015 8:18
68,3/9/2015 8:05,3/9/2015 8:08,3/9/2015 8:12,3/9/2015 8:14,3/9/2015 8:20,3/9/2015 8:28,3/9/2015 8:30,3/9/2015 8:32,3/9/2015 8:34
69,3/9/2015 8:20,3/9/2015 8:23,3/9/2015 8:27,3/9/2015 8:29,3/9/2015 8:34,3/9/2015 8:43,3/9/2015 8:44,3/9/2015 8:46,3/9/2015 8:48
70,3/9/2015 8:39,3/9/2015 8:42,3/9/2015 8:45,3/9/2015 8:47,3/9/2015 8:51,3/9/2015 8:59,3/9/2015 9:01,3/9/2015 9:03,3/9/2015 9:04
71,3/9/2015 8:49,3/9/2015 8:53,3/9/2015 8:56,3/9/2015 8:58,3/9/2015 9:02,3/9/2015 9:10,3/9/2015 9:12,3/9/2015 9:14,3/9/2015 9:15
72,3/10/2015 6:05,3/10/2015 6:08,3/10/2015 6:11,3/10/2015 6:13,3/10/2015 6:17,3/10/2015 6:24,3/10/2015 6:26,3/10/2015 6:28,3/10/2015 6:29
73,3/10/2015 6:19,3/10/2015 6:38,3/10/2015 6:41,3/10/2015 6:42,3/10/2015 6:47,3/10/2015 6:54,3/10/2015 6:57,3/10/2015 6:59,3/10/2015 7:00
74,3/10/2015 6:39,3/10/2015 6:42,3/10/2015 6:43,3/10/2015 6:45,3/10/2015 6:47,3/10/2015 6:54,3/10/2015 6:57,3/10/2015 6:59,3/10/2015 7:00
75,3/10/2015 6:50,3/10/2015 6:53,3/10/2015 6:57,3/10/2015 6:59,3/10/2015 7:05,3/10/2015 7:14,3/10/2015 7:16,3/10/2015 7:17,3/10/2015 7:18
76,3/10/2015 7:05,3/10/2015 7:08,3/10/2015 7:12,3/10/2015 7:13,3/10/2015 7:18,3/10/2015 7:25,3/10/2015 7:27,3/10/2015 7:29,3/10/2015 7:30
77,3/10/2015 7:21,3/10/2015 7:23,3/10/2015 7:31,3/10/2015 7:32,3/10/2015 7:37,3/10/2015 7:44,3/10/2015 7:46,3/10/2015 7:53,3/10/2015 7:55
78,3/10/2015 7:39,3/10/2015 7:43,3/10/2015 7:47,3/10/2015 7:48,3/10/2015 7:53,3/10/2015 8:06,3/10/2015 8:07,3/10/2015 8:08,3/10/2015 8:10
79,3/10/2015 7:51,3/10/2015 7:54,3/10/2015 7:58,3/10/2015 7:59,3/10/2015 8:04,3/10/2015 8:16,3/10/2015 8:18,3/10/2015 8:19,3/10/2015 8:21
80,3/10/2015 8:06,3/10/2015 8:08,3/10/2015 8:12,3/10/2015 8:15,3/10/2015 8:22,3/10/2015 8:30,3/10/2015 8:32,3/10/2015 8:34,3/10/2015 8:36
81,3/10/2015 8:21,3/10/2015 8:24,3/10/2015 8:27,3/10/2015 8:30,3/10/2015 8:34,3/10/2015 8:42,3/10/2015 8:45,3/10/2015 8:46,3/10/2015 8:48
82,3/10/2015 8:36,3/10/2015 8:40,3/10/2015 8:43,3/10/2015 8:45,3/10/2015 8:50,3/10/2015 8:58,3/10/2015 8:59,3/10/2015 9:01,3/10/2015 9:03
83,3/10/2015 8:53,3/10/2015 8:56,3/10/2015 8:59,3/10/2015 9:01,3/10/2015 9:05,3/10/2015 9:13,3/10/2015 9:15,3/10/2015 9:17,3/10/2015 9:19
84,3/11/2015 6:05,3/11/2015 6:09,3/11/2015 6:12,3/11/2015 6:14,3/11/2015 6:18,3/11/2015 6:25,3/11/2015 6:27,3/11/2015 6:28,3/11/2015 6:30
85,3/11/2015 6:20,3/11/2015 6:24,3/11/2015 6:26,3/11/2015 6:28,3/11/2015 6:32,3/11/2015 6:39,3/11/2015 6:40,3/11/2015 6:42,3/11/2015 6:43
86,3/11/2015 6:37,3/11/2015 6:40,3/11/2015 6:43,3/11/2015 6:45,3/11/2015 6:49,3/11/2015 6:56,3/11/2015 6:58,3/11/2015 6:59,3/11/2015 7:00
87,3/11/2015 6:55,3/11/2015 6:59,3/11/2015 7:01,3/11/2015 7:04,3/11/2015 7:13,3/11/2015 7:21,3/11/2015 7:23,3/11/2015 7:25,3/11/2015 7:27
88,3/11/2015 7:10,3/11/2015 7:12,3/11/2015 7:16,3/11/2015 7:18,3/11/2015 7:22,3/11/2015 7:30,3/11/2015 7:32,3/11/2015 7:34,3/11/2015 7:35
89,3/11/2015 7:21,3/11/2015 7:25,3/11/2015 7:28,3/11/2015 7:30,3/11/2015 7:35,3/11/2015 7:42,3/11/2015 7:43,3/11/2015 7:45,3/11/2015 7:46
90,3/11/2015 7:37,3/11/2015 7:41,3/11/2015 7:44,3/11/2015 7:46,3/11/2015 7:50,3/11/2015 7:57,3/11/2015 7:59,3/11/2015 8:00,3/11/2015 8:02
91,3/11/2015 7:54,3/11/2015 7:57,3/11/2015 8:01,3/11/2015 8:02,3/11/2015 8:06,3/11/2015 8:14,3/11/2015 8:16,3/11/2015 8:17,3/11/2015 8:19
92,3/11/2015 8:09,3/11/2015 8:13,3/11/2015 8:16,3/11/2015 8:18,3/11/2015 8:23,3/11/2015 8:29,3/11/2015 8:32,3/11/2015 8:33,3/11/2015 8:35
93,3/11/2015 8:25,3/11/2015 8:28,3/11/2015 8:32,3/11/2015 8:34,3/11/2015 8:40,3/11/2015 8:50,3/11/2015 8:52,3/11/2015 8:54,3/11/2015 8:55
94,3/11/2015 8:39,3/11/2015 8:42,3/11/2015 8:46,3/11/2015 8:48,3/11/2015 8:53,3/11/2015 9:06,3/11/2015 9:08,3/11/2015 9:10,3/11/2015 9:11
95,3/11/2015 8:53,3/11/2015 8:56,3/11/2015 9:00,3/11/2015 9:02,3/11/2015 9:08,3/11/2015 9:18,3/11/2015 9:19,3/11/2015 9:21,3/11/2015 9:23
96,3/12/2015 6:04,3/12/2015 6:08,3/12/2015 6:11,3/12/2015 6:13,3/12/2015 6:17,3/12/2015 6:24,3/12/2015 6:25,3/12/2015 6:28,3/12/2015 6:29
97,3/12/2015 6:20,3/12/2015 6:23,3/12/2015 6:26,3/12/2015 6:28,3/12/2015 6:32,3/12/2015 6:39,3/12/2015 6:41,3/12/2015 6:42,3/12/2015 6:44
98,3/12/2015 6:34,3/12/2015 6:38,3/12/2015 6:41,3/12/2015 6:43,3/12/2015 6:48,3/12/2015 6:55,3/12/2015 6:57,3/12/2015 6:58,3/12/2015 7:00
99,3/12/2015 6:50,3/12/2015 6:53,3/12/2015 6:57,3/12/2015 6:58,3/12/2015 7:03,3/12/2015 7:09,3/12/2015 7:11,3/12/2015 7:13,3/12/2015 7:14
100,3/12/2015 7:06,3/12/2015 7:09,3/12/2015 7:13,3/12/2015 7:14,3/12/2015 7:19,3/12/2015 7:26,3/12/2015 7:27,3/12/2015 7:29,3/12/2015 7:30
101,3/12/2015 7:20,3/12/2015 7:24,3/12/2015 7:27,3/12/2015 7:28,3/12/2015 7:32,3/12/2015 7:40,3/12/2015 7:42,3/12/2015 7:44,3/12/2015 7:45
