"","c..intercept...colnames.data...7.ncol.data....","coefficients"
"1","intercept",0.00349688857125809
"2","l_1",0
"3","l_2",0
"4","l_4",0
"5","l_5",-0.00191402030208646
"6","l_6",0
"7","l_7",0
"8","l_8",0
"9","l_9",0
"10","l_10",0
"11","s_12",0
"12","s_16",0
"13","s_19",0
"14","s_24",0
"15","s_balb",0
"16","s_civc",0
"17","s_colm",0
"18","s_conc",0
"19","s_daly",0
"20","s_embr",0
"21","s_glen",-0.000308432523566349
"22","s_lafy",-0.00142018263974906
"23","s_mcar",-0.00295956981134853
"24","s_mlbr",0.000726209656688832
"25","s_mont",0.000822435476812325
"26","s_ncon",0
"27","s_orin",-0.00291920754984123
"28","s_phil",0
"29","s_powl",0
"30","s_rock",-0.00095473074749971
"31","s_sbrn",-6.77346747518577e-05
"32","s_sfia",0
"33","s_ssan",0
"34","s_wcrk",0
"35","s_woak",0
"36","am",-6.88258702501362e-05
"37","arrival_time",-0.000427660209259911
