"","c..intercept...colnames.data...7.ncol.data....","coefficients"
"1","intercept",0.00241744547637541
"2","l_1",0.000750186705279608
"3","l_2",0.000523029462662268
"4","l_4",0.000356035696306808
"5","l_5",-0.00151264367890726
"6","l_6",0.00103342558404049
"7","l_7",0.00153026680602753
"8","l_8",0.000442386358234592
"9","l_9",0.000135935746954703
"10","l_10",0.000226824017490343
"11","s_12",0.000536488541992708
"12","s_16",0.000351005895284157
"13","s_19",0.000492253958305006
"14","s_24",0.000277039753201888
"15","s_balb",0.000403585734604314
"16","s_civc",0.000386208826595213
"17","s_colm",-0.000131450085668226
"18","s_conc",0.000377975182133074
"19","s_daly",0.000650817840739512
"20","s_embr",0.000462693844315488
"21","s_glen",-0.00085775371532268
"22","s_lafy",-0.0015587647927302
"23","s_mcar",-0.00259345059625682
"24","s_mlbr",0.00102985204243983
"25","s_mont",0.00148682163079239
"26","s_ncon",0.000377472083382613
"27","s_orin",-0.00260975215196836
"28","s_phil",0.000331418867409124
"29","s_powl",0.000196557053511621
"30","s_rock",-0.00117390001782607
"31","s_sbrn",-0.000568253156483724
"32","s_sfia",1.79263907614885e-05
"33","s_ssan",0.000489555015752294
"34","s_wcrk",6.93104795681537e-05
"35","s_woak",0.000399009645753746
"36","am",-0.000451258599529941
"37","arrival_time",-0.000324116397623518
